zipcode,sizerank,state,metro,city,zhvi,year,geoid,name,averageincome,incomemoe,households,householdmoe
20001,1281,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$702,317.99 ",2021,20001,ZCTA5 20001,126290,9431,22974,1008
20002,174,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$684,816.61 ",2021,20002,ZCTA5 20002,98391,4761,31832,1302
20003,3224,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$851,243.17 ",2021,20003,ZCTA5 20003,141280,8230,15993,705
20004,18784,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$485,217.64 ",2021,20004,ZCTA5 20004,132292,34690,1270,198
20005,8424,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$534,054.02 ",2021,20005,ZCTA5 20005,98755,9424,8802,650
20006,23188,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$259,467.93 ",2021,20006,ZCTA5 20006,32341,21168,637,162
20007,3753,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$1,100,152.62 ",2021,20007,ZCTA5 20007,134908,15366,11668,671
20008,3831,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$830,491.08 ",2021,20008,ZCTA5 20008,119681,11244,16989,849
20009,874,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$586,997.86 ",2021,20009,ZCTA5 20009,120493,6492,28382,1192
20010,3057,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$727,388.19 ",2021,20010,ZCTA5 20010,106241,9938,14255,655
20011,277,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$663,565.36 ",2021,20011,ZCTA5 20011,86614,6152,26989,1191
20012,6937,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$772,273.70 ",2021,20012,ZCTA5 20012,109737,16019,6784,505
20015,7642,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$1,206,246.70 ",2021,20015,ZCTA5 20015,201635,28750,6072,375
20016,3051,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$1,024,586.91 ",2021,20016,ZCTA5 20016,156783,9834,14092,770
20017,5615,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$586,237.63 ",2021,20017,ZCTA5 20017,92373,5998,8108,468
20018,6724,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$586,392.75 ",2021,20018,ZCTA5 20018,74412,12881,8858,716
20019,347,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$390,799.25 ",2021,20019,ZCTA5 20019,45419,5354,26184,954
20020,649,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$392,574.24 ",2021,20020,ZCTA5 20020,43118,3672,23071,829
20024,8523,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$458,247.17 ",2021,20024,ZCTA5 20024,92745,9911,8939,536
20032,2047,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$354,860.16 ",2021,20032,ZCTA5 20032,43773,6609,17796,1188
20036,12914,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$380,728.46 ",2021,20036,ZCTA5 20036,100417,10470,3664,513
20037,9297,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,"$572,673.25 ",2021,20037,ZCTA5 20037,94855,14939,6696,579
21520,17540,MD,,Accident,"$247,433.30 ",2021,21520,ZCTA5 21520,57128,11525,865,149
21521,22001,MD,,Barton,"$95,440.87 ",2021,21521,ZCTA5 21521,54286,13354,640,115
21610,28217,MD,,Betterton,"$257,301.55 ",2021,21610,ZCTA5 21610,73750,29123,170,41
21620,8623,MD,,Chestertown,"$296,655.04 ",2021,21620,ZCTA5 21620,63164,14337,5369,330
21629,9944,MD,,Denton,"$283,686.03 ",2021,21629,ZCTA5 21629,64534,5917,3413,249
21632,11592,MD,,Federalsburg,"$180,377.42 ",2021,21632,ZCTA5 21632,52758,5730,2493,231
21531,18484,MD,,Friendsville,"$187,516.04 ",2021,21531,ZCTA5 21531,40438,8699,954,141
21635,19131,MD,,Galena,"$314,064.31 ",2021,21635,ZCTA5 21635,104063,25853,874,150
21636,22400,MD,,Goldsboro,"$269,681.26 ",2021,21636,ZCTA5 21636,70100,23447,348,99
21536,14532,MD,,Grantsville,"$194,451.06 ",2021,21536,ZCTA5 21536,60268,12210,1470,159
21639,13268,MD,,Greensboro,"$252,990.21 ",2021,21639,ZCTA5 21639,54882,10424,1723,184
21640,17886,MD,,Henderson,"$320,992.82 ",2021,21640,ZCTA5 21640,70875,11916,539,96
21645,19855,MD,,Kennedyville,"$415,962.16 ",2021,21645,ZCTA5 21645,123500,59639,478,117
21667,27340,MD,,Kennedyville,#DIV/0!,2021,21667,ZCTA5 21667,90417,78434,89,53
21538,27125,MD,,Kitzmiller,#DIV/0!,2021,21538,ZCTA5 21538,97619,51717,310,134
21649,20596,MD,,Marydel,"$231,923.92 ",2021,21649,ZCTA5 21649,50625,15255,570,107
21650,27930,MD,,Massey,#DIV/0!,2021,21650,ZCTA5 21650,86282,23704,92,55
21541,20596,MD,,Mc Henry,"$486,061.72 ",2021,21541,ZCTA5 21541,51813,3046,800,200
21550,8178,MD,,Oakland,"$241,010.57 ",2021,21550,ZCTA5 21550,57778,5600,5908,341
21655,14683,MD,,Preston,"$262,858.57 ",2021,21655,ZCTA5 21655,77917,9503,1854,181
21660,14689,MD,,Ridgely,"$303,453.24 ",2021,21660,ZCTA5 21660,71900,7591,1502,129
21661,16449,MD,,Rock Hall,"$264,411.88 ",2021,21661,ZCTA5 21661,64643,12991,1222,135
21523,39992,MD,,Swanton,#DIV/0!,2021,21523,ZCTA5 21523,17066,11969,99,55
21561,17060,MD,,Swanton,"$456,285.05 ",2021,21561,ZCTA5 21561,65647,18679,1061,165
21678,20373,MD,,Worton,"$283,555.14 ",2021,21678,ZCTA5 21678,57917,10477,817,149
20733,16041,MD,"Baltimore-Columbia-Towson, MD",,"$378,797.93 ",2021,20733,ZCTA5 20733,115156,37703,1085,153
21108,6445,MD,"Baltimore-Columbia-Towson, MD",,"$516,907.31 ",2021,21108,ZCTA5 21108,131667,9110,6092,433
21207,848,MD,"Baltimore-Columbia-Towson, MD",,"$234,245.35 ",2021,21207,ZCTA5 21207,57011,4206,19360,771
21226,11399,MD,"Baltimore-Columbia-Towson, MD",,"$256,170.78 ",2021,21226,ZCTA5 21226,67064,13074,2369,328
21001,5245,MD,"Baltimore-Columbia-Towson, MD",Aberdeen,"$267,792.30 ",2021,21001,ZCTA5 21001,73071,6021,10275,427
21009,3212,MD,"Baltimore-Columbia-Towson, MD",Abingdon,"$299,259.17 ",2021,21009,ZCTA5 21009,101058,5982,12367,664
21401,1947,MD,"Baltimore-Columbia-Towson, MD",Annapolis,"$504,165.76 ",2021,21401,ZCTA5 21401,112599,5932,17347,768
21403,2969,MD,"Baltimore-Columbia-Towson, MD",Annapolis,"$491,558.72 ",2021,21403,ZCTA5 21403,98684,5530,14138,867
21405,24874,MD,"Baltimore-Columbia-Towson, MD",Annapolis,"$1,112,155.65 ",2021,21405,ZCTA5 21405,138750,74615,179,58
21409,6423,MD,"Baltimore-Columbia-Towson, MD",Annapolis,"$488,032.23 ",2021,21409,ZCTA5 21409,130816,9845,7466,379
21012,5112,MD,"Baltimore-Columbia-Towson, MD",Arnold,"$487,419.53 ",2021,21012,ZCTA5 21012,133481,10305,8136,490
21013,13643,MD,"Baltimore-Columbia-Towson, MD",Baldwin,"$525,818.33 ",2021,21013,ZCTA5 21013,148224,34830,1855,232
21201,6656,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$195,740.53 ",2021,21201,ZCTA5 21201,40932,8701,10068,643
21202,5878,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$184,715.65 ",2021,21202,ZCTA5 21202,54477,2360,10095,635
21205,7727,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$109,201.03 ",2021,21205,ZCTA5 21205,33493,4076,5265,419
21206,823,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$179,195.32 ",2021,21206,ZCTA5 21206,58036,3709,20047,838
21209,3894,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$358,155.72 ",2021,21209,ZCTA5 21209,86730,4174,11511,452
21210,7216,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$428,854.61 ",2021,21210,ZCTA5 21210,106925,18680,5337,448
21211,7562,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$239,321.34 ",2021,21211,ZCTA5 21211,74430,6320,8333,467
21212,2872,MD,"Baltimore-Columbia-Towson, MD",Baltimore,"$279,790.57 ",2021,21212,ZCTA5 21212,88679,3811,12679,467
